No,Center,Length,Width,Diagonal,Energy,Entropy,Mean,Median
339,"1021,309",10 px,11 px,14 px,10.437,5.96,116,108
340,"1057,308",8 px,9 px,12 px,8.376,5.73,137,138
341,"449,314",16 px,22 px,27 px,20.148,4.47,67,63
342,"717,312",10 px,9 px,13 px,9.523,5.6,121,92
343,"1087,313",8 px,7 px,10 px,6.615,5.63,150,152
344,"214,317",9 px,9 px,12 px,8.721,5.67,140,153
345,"419,316",8 px,8 px,11 px,5.758,5.58,136,124
346,"467,317",10 px,9 px,13 px,9.575,5.75,125,116
347,"595,316",7 px,7 px,9 px,5.571,5.16,137,126
348,"275,324",19 px,24 px,30 px,30.318,5.51,86,70
349,"651,327",28 px,48 px,55 px,65.485,4.21,55,0
350,"331,322",10 px,10 px,14 px,10.15,5.77,116,88
351,"1102,324",14 px,22 px,26 px,25.606,5.71,91,70
352,"488,323",10 px,10 px,14 px,10.141,5.73,122,122
353,"1140,323",8 px,9 px,12 px,7.216,5.38,124,99
354,"502,326",12 px,10 px,15 px,11.49,5.84,115,82
355,"782,329",18 px,16 px,24 px,21.03,5.43,88,71
356,"371,336",29 px,14 px,32 px,29.449,5.49,88,70
357,"314,328",8 px,7 px,10 px,6.182,5.54,134,120
358,"432,328",8 px,7 px,10 px,5.46,5.59,132,128
359,"798,328",8 px,10 px,12 px,9.271,5.86,126,122
360,"693,336",21 px,22 px,30 px,30.83,5.03,74,67
361,"521,333",10 px,13 px,16 px,10.815,5.78,116,110
362,"627,333",11 px,10 px,14 px,12.512,5.94,114,90
363,"849,334",8 px,8 px,11 px,6.02,5.57,132,134
364,"1137,337",13 px,11 px,17 px,10.854,5.18,84,72
365,"324,335",9 px,9 px,12 px,7.333,5.78,120,105
366,"22,341",12 px,8 px,14 px,9.608,5.93,122,95
367,"560,339",7 px,8 px,10 px,6.343,5.51,123,107
368,"352,342",11 px,22 px,24 px,20.858,6.01,102,78
369,"571,341",10 px,10 px,14 px,11.045,5.82,121,102
370,"806,351",24 px,28 px,36 px,33.961,4.17,58,0
371,"753,353",27 px,33 px,42 px,56.164,4.8,66,65
372,"44,350",22 px,26 px,34 px,40.981,5.29,77,69
373,"781,356",30 px,21 px,36 px,46.473,5.65,85,70
374,"395,353",13 px,19 px,23 px,19.211,5.63,95,73
375,"711,351",11 px,9 px,14 px,11.199,5.89,124,120
376,"18,352",7 px,7 px,9 px,5.72,5.13,127,129
377,"568,353",9 px,9 px,12 px,9.628,5.66,120,89
378,"868,373",43 px,58 px,72 px,108.036,3.89,49,0
379,"851,355",10 px,11 px,14 px,10.594,5.95,126,108
380,"415,359",15 px,15 px,21 px,18.047,5.54,93,71
381,"76,362",18 px,32 px,36 px,36.623,5.02,74,68
382,"582,358",10 px,19 px,21 px,17.962,6.21,116,89
383,"634,358",11 px,11 px,15 px,11.331,5.73,116,103
384,"731,360",9 px,8 px,12 px,7.791,5.92,137,145
385,"148,371",27 px,20 px,33 px,28.465,4.55,67,64
386,"866,363",9 px,10 px,13 px,9.768,5.91,128,121
387,"833,367",15 px,18 px,23 px,21.803,5.58,91,82
388,"560,365",10 px,9 px,13 px,9.676,5.86,127,130
389,"914,370",22 px,23 px,31 px,31.48,4.98,75,67
390,"813,367",12 px,15 px,19 px,17.552,6.0,108,81
391,"460,374",28 px,24 px,36 px,41.608,4.89,69,66
392,"437,368",7 px,7 px,9 px,4.844,5.49,141,141
393,"134,373",18 px,17 px,24 px,17.098,4.1,66,0
394,"412,372",10 px,9 px,13 px,8.62,5.69,135,147
395,"635,374",9 px,10 px,13 px,9.588,5.68,116,79
396,"687,375",11 px,17 px,20 px,14.904,6.17,109,99
397,"39,379",18 px,16 px,24 px,18.014,4.99,79,67
398,"962,374",8 px,8 px,11 px,5.885,5.55,133,138
399,"120,378",10 px,10 px,14 px,9.66,5.78,126,124
400,"988,378",10 px,14 px,17 px,13.642,6.04,121,105
401,"663,379",9 px,9 px,12 px,9.459,5.75,131,129
402,"1006,380",12 px,10 px,15 px,12.252,6.13,129,130
403,"502,385",15 px,12 px,19 px,14.599,5.77,101,75
404,"658,390",18 px,23 px,29 px,22.341,4.71,75,66
405,"904,392",26 px,35 px,43 px,51.0,4.56,62,63
406,"966,385",7 px,8 px,10 px,5.723,5.52,134,133
407,"522,387",9 px,9 px,12 px,8.873,5.65,123,105
408,"49,388",9 px,8 px,12 px,7.979,5.53,124,115
409,"930,390",11 px,10 px,14 px,10.691,5.82,122,102
410,"208,393",13 px,15 px,19 px,16.491,5.75,101,77
411,"224,394",17 px,16 px,23 px,22.706,5.71,94,71
412,"558,395",11 px,10 px,14 px,11.468,5.82,118,92
413,"250,406",26 px,30 px,39 px,47.761,4.86,70,67
414,"948,395",7 px,7 px,9 px,5.467,5.33,137,133
415,"695,397",10 px,26 px,27 px,24.358,6.52,113,100
416,"573,399",10 px,7 px,12 px,8.157,5.48,127,110
417,"1070,404",20 px,20 px,28 px,23.76,4.23,63,59
418,"752,400",10 px,9 px,13 px,9.408,5.66,120,93
419,"982,403",9 px,9 px,12 px,8.617,5.89,130,136
420,"598,415",24 px,22 px,32 px,36.27,5.03,75,68
421,"968,408",12 px,15 px,19 px,12.317,4.77,81,70
422,"1119,406",9 px,10 px,13 px,8.196,6.02,137,147
423,"834,409",10 px,9 px,13 px,9.029,5.79,118,105
424,"768,411",11 px,20 px,22 px,19.318,6.11,111,105
425,"309,413",12 px,13 px,17 px,16.201,5.76,109,73
426,"166,413",8 px,9 px,12 px,6.9,5.67,131,134
427,"271,413",8 px,8 px,11 px,7.558,5.48,136,127
428,"995,415",12 px,17 px,20 px,17.752,5.85,100,75
429,"618,414",7 px,7 px,9 px,5.542,5.29,121,101
430,"796,415",10 px,10 px,14 px,9.895,5.86,128,107
431,"1138,415",9 px,8 px,12 px,8.198,5.76,134,141
432,"635,419",17 px,22 px,27 px,28.934,5.39,84,70
433,"186,419",14 px,21 px,25 px,19.996,5.09,82,68
434,"819,418",12 px,14 px,18 px,9.954,4.72,84,74
435,"141,418",9 px,9 px,12 px,6.981,5.75,128,124
436,"882,435",36 px,33 px,48 px,54.329,3.88,52,0
437,"294,423",8 px,8 px,11 px,6.01,5.57,128,128
438,"332,424",10 px,9 px,13 px,9.787,5.92,132,146
439,"703,423",9 px,11 px,14 px,8.774,5.88,123,120
440,"674,430",19 px,22 px,29 px,29.37,5.1,75,68
441,"834,424",9 px,9 px,12 px,9.215,5.74,138,127
442,"1041,430",20 px,24 px,31 px,30.736,5.0,71,66
443,"321,426",11 px,13 px,17 px,11.554,5.52,98,73
444,"656,426",9 px,9 px,12 px,7.384,5.87,130,131
445,"1093,430",17 px,28 px,32 px,31.204,5.2,78,69
446,"397,435",22 px,16 px,27 px,29.034,5.7,91,71
447,"1072,429",7 px,8 px,10 px,6.152,5.42,130,126
448,"17,430",8 px,9 px,12 px,7.516,5.75,133,125
449,"366,435",18 px,13 px,22 px,17.57,5.88,100,81
450,"714,432",11 px,11 px,15 px,13.207,5.99,123,109
451,"810,432",10 px,10 px,14 px,10.28,5.86,127,122
452,"854,434",12 px,12 px,16 px,13.204,5.84,111,79
453,"742,434",10 px,10 px,14 px,9.437,6.09,131,132
454,"379,436",9 px,10 px,13 px,8.884,5.92,132,136
455,"912,436",8 px,7 px,10 px,6.029,5.54,139,134
456,"1128,436",7 px,7 px,9 px,5.63,5.29,147,151
457,"197,438",9 px,10 px,13 px,8.197,5.88,127,113
458,"225,437",7 px,7 px,9 px,5.054,5.31,145,149
459,"932,439",9 px,9 px,12 px,8.109,5.6,117,99
460,"742,450",28 px,30 px,41 px,55.085,5.49,80,69
461,"71,441",9 px,7 px,11 px,6.96,5.47,131,129
462,"699,441",9 px,10 px,13 px,7.688,5.75,117,105
463,"208,442",10 px,10 px,14 px,10.444,5.95,135,142
464,"968,442",10 px,10 px,14 px,11.582,5.99,124,115
465,"48,450",22 px,17 px,27 px,23.426,4.99,78,68
466,"1115,443",11 px,12 px,16 px,10.983,5.68,110,101
467,"452,444",9 px,8 px,12 px,7.77,5.59,122,109
468,"286,445",10 px,8 px,12 px,8.592,5.76,133,137
469,"34,446",9 px,9 px,12 px,9.638,5.75,129,128
470,"419,447",10 px,10 px,14 px,10.93,5.9,128,138
471,"786,447",10 px,9 px,13 px,9.966,5.81,121,93
472,"1093,446",7 px,7 px,9 px,4.646,5.33,137,135
473,"809,451",15 px,13 px,19 px,16.273,5.84,108,73
474,"87,450",13 px,17 px,21 px,22.017,5.76,99,77
475,"108,458",27 px,29 px,39 px,43.98,4.44,63,60
476,"348,453",17 px,25 px,30 px,23.943,4.49,66,64
477,"919,451",9 px,10 px,13 px,10.049,5.68,119,93
478,"1144,456",18 px,12 px,21 px,14.771,5.22,87,71
479,"440,457",20 px,14 px,24 px,20.991,5.48,91,80
480,"312,453",10 px,9 px,13 px,9.203,5.71,116,103
481,"765,456",15 px,20 px,25 px,18.112,4.64,74,68
482,"936,454",12 px,22 px,25 px,25.32,6.12,109,89
483,"966,453",9 px,11 px,14 px,9.977,5.69,119,113
484,"263,455",11 px,11 px,15 px,9.9,5.8,118,120
485,"708,455",11 px,12 px,16 px,12.365,6.04,124,136
486,"1120,456",8 px,8 px,11 px,7.594,5.43,124,116
487,"276,458",7 px,7 px,9 px,5.246,5.41,139,141
488,"156,463",16 px,17 px,23 px,22.545,5.78,94,72
489,"796,460",10 px,10 px,14 px,9.183,5.9,132,124
490,"41,463",10 px,10 px,14 px,9.849,5.77,129,122
491,"479,465",12 px,15 px,19 px,16.443,5.73,104,71
492,"187,472",20 px,11 px,22 px,19.808,6.06,106,78
493,"921,465",7 px,8 px,10 px,5.686,5.51,138,142
494,"74,467",9 px,10 px,13 px,10.019,5.77,128,135
495,"955,467",9 px,9 px,12 px,8.798,5.75,130,118
496,"995,467",9 px,9 px,12 px,8.894,5.75,123,116
497,"132,470",15 px,12 px,19 px,13.037,5.49,97,74
498,"1012,467",8 px,9 px,12 px,7.12,5.55,125,119
499,"967,471",9 px,8 px,12 px,6.29,5.66,122,122
500,"879,477",20 px,23 px,30 px,33.899,5.15,78,68
501,"353,472",9 px,8 px,12 px,7.113,5.79,132,134
502,"533,472",8 px,8 px,11 px,7.716,5.49,132,127
503,"847,475",13 px,8 px,15 px,8.927,5.94,123,111
504,"1043,473",10 px,8 px,12 px,8.393,5.61,117,97
505,"171,484",25 px,13 px,28 px,27.161,5.91,96,72
506,"550,475",7 px,8 px,10 px,7.027,5.27,125,126
507,"49,483",16 px,10 px,18 px,15.35,6.09,118,97
508,"632,481",11 px,10 px,14 px,12.041,5.99,126,130
509,"223,489",25 px,29 px,38 px,48.409,5.28,78,68
510,"912,481",10 px,9 px,13 px,10.048,5.92,120,117
511,"927,494",32 px,19 px,37 px,41.059,5.1,77,67
512,"99,488",20 px,9 px,21 px,16.234,5.63,94,71
513,"1023,482",8 px,7 px,10 px,6.712,5.52,153,153
514,"73,488",13 px,13 px,18 px,15.927,5.81,102,73
515,"86,486",8 px,8 px,11 px,7.016,5.48,124,109
516,"118,495",24 px,26 px,35 px,32.044,4.35,62,60
517,"249,487",8 px,9 px,12 px,6.765,5.84,138,134
