No,Center,Length,Width,Diagonal,Energy,Entropy,Mean,Median
531,"1116,504",10 px,11 px,14 px,10.449,5.87,123,99
532,"975,505",11 px,14 px,17 px,14.186,5.83,108,75
533,"283,513",30 px,33 px,44 px,50.213,4.26,59,0
534,"614,505",8 px,8 px,11 px,6.426,5.55,130,122
535,"676,521",37 px,29 px,47 px,49.11,3.94,54,0
536,"131,507",11 px,9 px,14 px,10.112,5.81,126,130
537,"697,510",16 px,14 px,21 px,13.198,4.55,81,72
538,"1009,508",10 px,11 px,14 px,11.56,5.9,120,113
539,"168,512",15 px,17 px,22 px,21.241,5.72,95,75
540,"646,511",14 px,12 px,18 px,14.282,5.63,104,74
541,"507,510",8 px,7 px,10 px,5.918,5.39,127,110
542,"310,516",17 px,19 px,25 px,21.663,5.21,81,69
543,"205,513",7 px,7 px,9 px,5.092,5.09,129,115
544,"954,514",10 px,9 px,13 px,8.078,5.95,131,140
545,"1068,519",19 px,11 px,21 px,15.904,5.68,99,77
546,"1127,514",9 px,8 px,12 px,7.107,5.77,139,141
547,"338,518",16 px,13 px,20 px,17.69,5.62,99,71
548,"1054,515",10 px,11 px,14 px,9.816,5.96,119,118
549,"473,517",10 px,9 px,13 px,10.381,5.9,127,145
550,"631,517",9 px,9 px,12 px,7.939,5.64,119,100
551,"379,524",18 px,16 px,24 px,15.367,4.43,72,65
552,"1080,520",9 px,9 px,12 px,7.567,5.59,127,107
553,"1004,521",7 px,9 px,11 px,5.801,5.51,131,127
554,"356,525",14 px,22 px,26 px,24.381,5.59,91,71
555,"761,539",35 px,31 px,46 px,58.155,4.32,58,62
556,"1099,538",33 px,20 px,38 px,49.907,5.33,80,68
557,"421,533",22 px,20 px,29 px,27.623,5.23,80,70
558,"702,527",10 px,15 px,18 px,13.654,5.99,109,91
559,"720,528",12 px,13 px,17 px,14.369,5.88,113,77
560,"251,532",19 px,9 px,21 px,16.755,6.16,116,109
561,"235,531",14 px,13 px,19 px,17.964,6.11,110,79
562,"545,529",8 px,9 px,12 px,7.777,5.64,127,111
563,"1076,534",11 px,19 px,21 px,18.996,6.02,107,84
564,"1114,534",10 px,10 px,14 px,9.855,5.74,115,76
565,"286,536",7 px,8 px,10 px,5.833,5.37,136,142
566,"732,540",15 px,16 px,21 px,16.086,4.7,79,70
567,"560,539",7 px,7 px,9 px,5.603,5.29,140,144
568,"590,540",9 px,9 px,12 px,7.836,5.69,139,141
569,"269,541",11 px,11 px,15 px,10.666,5.89,114,99
570,"790,541",10 px,17 px,19 px,15.675,6.0,112,109
571,"1140,547",20 px,18 px,26 px,20.464,4.55,70,64
572,"297,543",9 px,10 px,13 px,9.512,5.76,124,99
573,"395,543",9 px,10 px,13 px,8.736,5.71,125,113
574,"408,543",11 px,9 px,14 px,9.049,5.71,123,113
575,"609,544",12 px,11 px,16 px,12.606,5.97,114,112
576,"688,544",10 px,10 px,14 px,10.474,5.81,132,138
577,"285,544",8 px,8 px,11 px,6.323,5.57,128,133
578,"355,546",9 px,9 px,12 px,7.771,5.8,129,133
579,"1075,546",7 px,7 px,9 px,4.521,5.19,125,101
580,"323,551",8 px,9 px,12 px,7.572,5.73,129,116
581,"1114,551",8 px,10 px,12 px,8.421,5.73,130,138
582,"841,554",8 px,8 px,11 px,7.104,5.53,124,111
583,"871,555",10 px,9 px,13 px,9.135,5.81,121,105
584,"831,557",7 px,7 px,9 px,3.978,5.45,154,152
585,"882,562",11 px,10 px,14 px,10.695,5.94,120,111
586,"470,564",12 px,12 px,16 px,13.9,5.77,115,74
587,"697,568",20 px,21 px,29 px,23.312,4.65,71,65
588,"489,568",17 px,14 px,22 px,20.378,5.61,96,69
589,"511,565",10 px,9 px,13 px,8.733,5.82,122,101
590,"809,564",7 px,8 px,10 px,6.675,5.58,144,149
591,"857,566",11 px,9 px,14 px,9.679,5.79,117,81
592,"417,570",10 px,10 px,14 px,9.042,5.7,129,119
593,"385,570",7 px,9 px,11 px,6.563,5.58,146,146
594,"534,572",7 px,9 px,11 px,7.469,5.38,128,111
595,"723,572",7 px,8 px,10 px,4.686,5.37,125,123
596,"758,573",10 px,10 px,14 px,10.154,5.8,121,100
597,"446,580",16 px,15 px,21 px,20.53,5.58,97,72
598,"515,577",7 px,8 px,10 px,6.166,5.47,137,125
599,"903,581",9 px,9 px,12 px,7.899,5.75,128,126
600,"777,582",11 px,10 px,14 px,10.991,5.7,118,95
601,"936,582",11 px,10 px,14 px,10.539,5.88,119,118
602,"582,588",20 px,29 px,35 px,39.269,5.21,77,68
603,"622,583",10 px,10 px,14 px,11.029,5.92,123,113
604,"952,588",15 px,9 px,17 px,14.188,6.13,119,107
605,"516,588",10 px,11 px,14 px,10.655,5.88,123,125
606,"751,587",7 px,7 px,9 px,5.347,5.37,133,132
607,"459,590",8 px,9 px,12 px,7.12,5.67,130,135
608,"624,598",14 px,16 px,21 px,16.985,5.55,95,70
609,"482,598",7 px,8 px,10 px,6.389,5.28,152,158
610,"655,607",24 px,34 px,41 px,46.566,4.64,63,65
611,"513,604",14 px,17 px,22 px,21.986,5.86,99,75
612,"533,601",7 px,8 px,10 px,5.954,5.32,134,134
613,"963,602",10 px,10 px,14 px,11.082,5.85,119,109
614,"974,605",13 px,11 px,17 px,12.34,6.01,115,105
615,"543,605",7 px,8 px,10 px,5.451,5.54,122,107
616,"994,606",10 px,10 px,14 px,9.867,5.85,127,118
617,"721,608",11 px,11 px,15 px,12.287,5.86,115,87
618,"1013,612",19 px,10 px,21 px,15.638,5.72,103,99
619,"836,612",9 px,8 px,12 px,8.505,5.7,126,118
620,"1026,613",11 px,12 px,16 px,13.355,6.03,123,116
621,"1100,613",12 px,10 px,15 px,11.997,6.1,118,115
622,"485,613",8 px,10 px,12 px,9.197,4.88,150,156
623,"498,613",8 px,8 px,11 px,8.095,4.55,159,159
624,"681,618",17 px,13 px,21 px,20.459,5.76,105,72
625,"859,613",8 px,8 px,11 px,5.851,5.5,128,117
626,"539,622",21 px,22 px,30 px,27.485,4.36,83,122
627,"927,621",17 px,15 px,22 px,16.649,5.13,83,68
628,"942,617",11 px,9 px,14 px,9.104,5.7,118,93
629,"696,621",15 px,14 px,20 px,18.085,5.66,103,71
630,"594,622",18 px,10 px,20 px,16.632,6.22,112,97
631,"1081,626",21 px,19 px,28 px,29.237,5.55,85,69
632,"565,621",10 px,9 px,13 px,10.24,5.69,122,100
633,"514,624",13 px,10 px,16 px,11.583,5.19,129,152
634,"735,624",15 px,13 px,19 px,16.293,5.63,98,74
635,"750,626",18 px,11 px,21 px,19.125,6.07,109,85
636,"883,622",10 px,11 px,14 px,12.244,5.78,119,123
637,"628,630",14 px,20 px,24 px,17.16,4.9,75,67
638,"1132,629",14 px,17 px,22 px,19.617,5.36,94,75
639,"608,628",7 px,8 px,10 px,6.224,5.29,143,148
640,"662,629",10 px,10 px,14 px,9.491,5.89,123,102
641,"1041,629",10 px,9 px,13 px,8.038,5.95,139,149
642,"773,632",9 px,9 px,12 px,7.856,5.5,113,82
643,"1111,632",8 px,10 px,12 px,6.993,5.36,119,84
644,"968,633",7 px,10 px,12 px,7.139,5.42,115,77
645,"710,634",5 px,9 px,10 px,4.885,5.04,127,121
